OrderID,OrderDate,CustomerKey,ProductKey,Quantity,Channel,PaymentMethod,DiscountPct,UnitSalePrice,OrderStatus,FulfillmentDays,BatchNumber
10004,2021-01-02,5548,10,1,Marketplace,Karta,0,5999.0,Zrealizowane,3,BATCH-2021-010-001
10006,2021-01-02,1856,20,1,Sklep,Gotówka,0,129.0,Zrealizowane,0,BATCH-2021-020-001
10008,2021-01-02,657,0,3,Online,Raty,0,0.0,Zrealizowane,3,BATCH-2021-000-001
10009,2021-01-02,880,17,1,Marketplace,Karta,0,1299.0,Zrealizowane,3,BATCH-2021-017-001
10010,2021-01-02,6602,0,2,Online,Karta,0,0.0,Zrealizowane,2,BATCH-2021-000-001
10011,2021-01-02,743,19,2,Marketplace,Karta,0,49.0,Zrealizowane,5,BATCH-2021-019-001
10012,2021-01-02,7320,17,2,Online,BLIK,0,1299.0,Zrealizowane,5,BATCH-2021-017-001
10013,2021-01-02,3971,15,1,Online,Karta,0,1599.0,Anulowane,0,BATCH-2021-015-001
10014,2021-01-02,9717,25,1,Online,Raty,0,799.0,Zrealizowane,2,BATCH-2021-025-001
10015,2021-01-02,4480,20,1,Online,Pobranie,0,129.0,Zrealizowane,1,BATCH-2021-020-001
10016,2021-01-02,3833,20,1,Online,BLIK,0,129.0,Zrealizowane,5,BATCH-2021-020-001
10018,2021-01-02,5272,19,2,Marketplace,Karta,0,49.0,Zrealizowane,4,BATCH-2021-019-001
10019,2021-01-02,7606,21,1,Online,Karta,0,249.0,Zrealizowane,4,BATCH-2021-021-001
10020,2021-01-02,8157,0,1,Online,Karta,0,0.0,Zrealizowane,5,BATCH-2021-000-001
10022,2021-01-03,9909,16,1,Marketplace,BLIK,0,999.0,Anulowane,0,BATCH-2021-016-001
10023,2021-01-03,8198,18,1,Online,BLIK,0,149.0,Zrealizowane,1,BATCH-2021-018-001
10024,2021-01-03,4945,0,1,Marketplace,Karta,0,0.0,Zrealizowane,3,BATCH-2021-000-001
10025,2021-01-03,8765,15,1,Sklep,Gotówka,0,1599.0,Zrealizowane,0,BATCH-2021-015-001
10027,2021-01-03,4470,0,1,Online,Karta,0,0.0,Zrealizowane,1,BATCH-2021-000-001
10028,2021-01-03,5433,16,1,Online,BLIK,0,999.0,Zwrócone,2,BATCH-2021-016-001
10029,2021-01-04,PL576-83-16-508,0,108,Sklep,Przelew,7,0.0,Zrealizowane,0,BATCH-2021-000-001
10030,2021-01-04,3047,0,1,Sklep,Raty,0,0.0,Zrealizowane,0,BATCH-2021-000-001
10031,2021-01-04,3062,10,1,Online,Karta,0,5999.0,Zwrócone,5,BATCH-2021-010-001
10032,2021-01-04,2148,11,1,Online,Karta,0,3999.0,Zrealizowane,2,BATCH-2021-011-001
10033,2021-01-04,9596,0,2,Sklep,BLIK,0,0.0,Zrealizowane,0,BATCH-2021-000-001
10034,2021-01-04,2919,24,1,Marketplace,Karta,0,599.0,Zrealizowane,3,BATCH-2021-024-001
10035,2021-01-04,1855,16,1,Online,Przelew,0,999.0,Zrealizowane,4,BATCH-2021-016-001
10036,2021-01-04,6322,15,2,Sklep,BLIK,0,1599.0,Zrealizowane,0,BATCH-2021-015-001
10038,2021-01-04,4908,24,1,Online,Raty,0,599.0,Zrealizowane,1,BATCH-2021-024-001
10039,2021-01-05,8419,0,1,Online,Karta,0,0.0,Zrealizowane,12,BATCH-2021-000-001
10041,2021-01-05,1251,13,1,Online,BLIK,0,5599.0,Zrealizowane,6,BATCH-2021-013-001
10042,2021-01-05,6,22,1,Online,BLIK,0,499.0,Zwrócone,3,BATCH-2021-022-001
10043,2021-01-05,6398,16,2,Online,Raty,0,999.0,Zrealizowane,3,BATCH-2021-016-001
10044,2021-01-05,8518,22,1,Online,BLIK,0,499.0,Zrealizowane,2,BATCH-2021-022-001
10046,2021-01-05,1492,20,1,Online,Karta,0,129.0,Zrealizowane,5,BATCH-2021-020-001
10048,2021-01-05,5430,16,1,Sklep,Karta,0,999.0,Zrealizowane,0,BATCH-2021-016-001
10049,2021-01-05,5397,24,1,Sklep,Karta,0,599.0,Zrealizowane,0,BATCH-2021-024-001
10050,2021-01-05,2365,16,1,Marketplace,BLIK,0,999.0,Zrealizowane,12,BATCH-2021-016-001
10051,2021-01-06,8535,16,6,Online,BLIK,2,979.02,Zrealizowane,1,BATCH-2021-016-001
10053,2021-01-06,4387,0,2,Online,BLIK,0,0.0,Zrealizowane,5,BATCH-2021-000-001
10055,2021-01-06,6020,25,13,Sklep,Gotówka,2,783.02,Zrealizowane,0,BATCH-2021-025-001
10056,2021-01-06,1753,15,2,Online,Przelew,0,1599.0,Zrealizowane,3,BATCH-2021-015-001
10058,2021-01-06,5905,0,1,Online,BLIK,0,0.0,Zrealizowane,2,BATCH-2021-000-001
10059,2021-01-06,5576,7,1,Online,Raty,0,5499.0,Zrealizowane,5,BATCH-2021-007-001
10060,2021-01-06,6973,16,2,Sklep,Karta,0,999.0,Zrealizowane,0,BATCH-2021-016-001
10061,2021-01-06,9276,9,1,Online,Karta,0,6999.0,Zrealizowane,2,BATCH-2021-009-001
10062,2021-01-06,9945,22,1,Marketplace,Karta,0,499.0,Zrealizowane,8,BATCH-2021-022-001
10063,2021-01-06,236,11,1,Online,Pobranie,0,3999.0,Zrealizowane,2,BATCH-2021-011-001
10064,2021-01-06,1207,9,1,Online,Przelew,0,6999.0,Zrealizowane,3,BATCH-2021-009-001
10066,2021-01-06,8582,21,8,Online,BLIK,2,244.02,Zwrócone,1,BATCH-2021-021-001
10067,2021-01-06,6835,24,2,Online,Przelew,0,599.0,Zrealizowane,3,BATCH-2021-024-001
10068,2021-01-06,4802,0,1,Online,Raty,0,0.0,Zrealizowane,2,BATCH-2021-000-001
10069,2021-01-06,4483,0,1,Online,Przelew,0,0.0,Zrealizowane,5,BATCH-2021-000-001
10071,2021-01-07,8206,0,8,Sklep,Gotówka,2,0.0,Zrealizowane,0,BATCH-2021-000-001
10072,2021-01-07,8732,7,1,Sklep,Gotówka,0,5499.0,Zrealizowane,0,BATCH-2021-007-001
10073,2021-01-07,7703,0,15,Online,BLIK,2,0.0,Zrealizowane,4,BATCH-2021-000-001
10076,2021-01-07,602,22,1,Online,Karta,0,499.0,Zrealizowane,2,BATCH-2021-022-001
10078,2021-01-07,6858,21,1,Sklep,Karta,0,249.0,Zrealizowane,0,BATCH-2021-021-001
10079,2021-01-07,1738,9,1,Sklep,Gotówka,0,6999.0,Zrealizowane,0,BATCH-2021-009-001
10080,2021-01-08,4586,0,2,Marketplace,Karta,0,0.0,Zrealizowane,4,BATCH-2021-000-001
10081,2021-01-08,9532,22,1,Online,Karta,0,499.0,Zrealizowane,4,BATCH-2021-022-001
10083,2021-01-08,947,16,1,Marketplace,Pobranie,0,999.0,Zrealizowane,2,BATCH-2021-016-001
10084,2021-01-08,81,26,1,Marketplace,Przelew,0,1999.0,Zrealizowane,4,BATCH-2021-026-001
10085,2021-01-08,4450,0,1,Sklep,Raty,0,0.0,Zrealizowane,0,BATCH-2021-000-001
10088,2021-01-08,PL661-67-08-627,0,216,Online,Przelew,7,0.0,Zrealizowane,2,BATCH-2021-000-001
10089,2021-01-08,5360,16,1,Marketplace,BLIK,0,999.0,Zrealizowane,2,BATCH-2021-016-001
10090,2021-01-08,113,16,3,Marketplace,Karta,0,999.0,Zrealizowane,3,BATCH-2021-016-001
10091,2021-01-08,2320,24,1,Online,BLIK,0,599.0,Zrealizowane,5,BATCH-2021-024-001
10092,2021-01-08,8719,0,1,Marketplace,BLIK,0,0.0,Zrealizowane,4,BATCH-2021-000-001
10093,2021-01-08,2877,26,1,Online,Karta,0,1999.0,Zrealizowane,2,BATCH-2021-026-001
10094,2021-01-08,3115,18,2,Marketplace,Pobranie,0,149.0,Zrealizowane,3,BATCH-2021-018-001
10097,2021-01-08,7242,0,1,Sklep,Gotówka,0,0.0,Zrealizowane,0,BATCH-2021-000-001
10098,2021-01-08,4245,18,1,Online,Raty,0,149.0,Zrealizowane,3,BATCH-2021-018-001
10100,2021-01-08,1321,25,1,Marketplace,BLIK,0,799.0,Zrealizowane,3,BATCH-2021-025-001
10101,2021-01-08,5128,0,1,Online,BLIK,0,0.0,Zrealizowane,2,BATCH-2021-000-001
10103,2021-01-09,1300,21,1,Online,Pobranie,0,249.0,Zrealizowane,1,BATCH-2021-021-001
10106,2021-01-09,5053,0,1,Online,Karta,0,0.0,Zrealizowane,3,BATCH-2021-000-001
10107,2021-01-09,1032,7,2,Online,BLIK,0,5499.0,Zrealizowane,2,BATCH-2021-007-001
10108,2021-01-09,1347,22,1,Online,Przelew,0,499.0,Zrealizowane,1,BATCH-2021-022-001
10109,2021-01-09,9403,10,1,Online,Przelew,0,5999.0,Zrealizowane,3,BATCH-2021-010-001
10110,2021-01-09,7859,26,1,Marketplace,PayPal,0,1999.0,Anulowane,0,BATCH-2021-026-001
10111,2021-01-09,1058,16,1,Marketplace,BLIK,0,999.0,Zrealizowane,12,BATCH-2021-016-001
10113,2021-01-09,7850,19,1,Sklep,Gotówka,0,49.0,Zrealizowane,0,BATCH-2021-019-001
10114,2021-01-09,5543,16,1,Online,BLIK,0,999.0,Zrealizowane,1,BATCH-2021-016-001
